Customer ID,RecommendedProducts
C001,"['P034', 'P011', 'P028', 'P026', 'P002']"
C002,"['P024', 'P006', 'P015', 'P029', 'P026']"
C003,"['P009', 'P022', 'P042', 'P050', 'P026']"
C004,"['P009', 'P040', 'P003', 'P036', 'P002']"
C005,"['P018', 'P005', 'P019', 'P024', 'P004']"
C006,"['P043', 'P032', 'P034', 'P033', 'P001']"
C007,"['P016', 'P046', 'P011', 'P019', 'P023']"
C008,"['P002', 'P005', 'P001', 'P039', 'P018']"
C009,"['P046', 'P039', 'P021', 'P050', 'P049']"
C010,"['P028', 'P021', 'P033', 'P040', 'P009']"
C011,"['P030', 'P022', 'P039', 'P029', 'P005']"
C012,"['P018', 'P017', 'P038', 'P002', 'P001']"
C013,"['P009', 'P032', 'P015', 'P050', 'P037']"
C014,"['P039', 'P011', 'P048', 'P018', 'P029']"
C015,"['P036', 'P024', 'P006', 'P044', 'P007']"
C016,"['P045', 'P011', 'P040', 'P013', 'P029']"
C017,"['P048', 'P046', 'P042', 'P011', 'P014']"
C018,"['P001', 'P039', 'P023', 'P046', 'P008']"
C019,"['P011', 'P014', 'P030', 'P038', 'P036']"
C020,"['P016', 'P027', 'P021', 'P015', 'P001']"
C021,"['P036', 'P034', 'P016', 'P008', 'P028']"
C022,"['P022', 'P017', 'P030', 'P036', 'P002']"
C023,"['P003', 'P007', 'P046', 'P031', 'P028']"
C024,"['P015', 'P037', 'P023', 'P033', 'P036']"
C025,"['P036', 'P029', 'P025', 'P003', 'P022']"
C026,"['P039', 'P011', 'P034', 'P042', 'P015']"
C027,"['P004', 'P029', 'P015', 'P001', 'P003']"
C028,"['P048', 'P011', 'P013', 'P045', 'P027']"
C029,"['P003', 'P045', 'P028', 'P018', 'P025']"
C030,"['P018', 'P036', 'P020', 'P039', 'P029']"
C031,"['P021', 'P005', 'P004', 'P029', 'P009']"
C032,"['P022', 'P047', 'P049', 'P021', 'P029']"
C033,"['P018', 'P005', 'P049', 'P015', 'P025']"
C034,"['P048', 'P024', 'P034', 'P038', 'P002']"
C035,"['P029', 'P025', 'P044', 'P023', 'P018']"
C036,"['P025', 'P042', 'P034', 'P023', 'P005']"
C037,"['P003', 'P022', 'P032', 'P018', 'P038']"
C038,"['P013', 'P049', 'P048', 'P027', 'P039']"
C039,"['P046', 'P020', 'P050', 'P006', 'P013']"
C040,"['P015', 'P031', 'P001', 'P027', 'P029']"
C041,"['P013', 'P009', 'P022', 'P021', 'P007']"
C042,"['P013', 'P047', 'P021', 'P030', 'P035']"
C043,"['P031', 'P017', 'P018', 'P039', 'P030']"
C044,"['P038', 'P048', 'P041', 'P043', 'P018']"
C045,"['P007', 'P043', 'P002', 'P014', 'P022']"
C046,"['P034', 'P029', 'P022', 'P039', 'P036']"
C047,"['P007', 'P023', 'P013', 'P046', 'P025']"
C048,"['P046', 'P012', 'P042', 'P019', 'P023']"
C049,"['P043', 'P032', 'P050', 'P018', 'P010']"
C050,"['P030', 'P049', 'P048', 'P032', 'P015']"
C051,"['P005', 'P028', 'P015', 'P026', 'P016']"
C052,"['P033', 'P014', 'P002', 'P015', 'P034']"
C053,"['P003', 'P017', 'P024', 'P006', 'P045']"
C054,"['P046', 'P008', 'P035', 'P039', 'P003']"
C055,"['P050', 'P008', 'P029', 'P030', 'P023']"
C056,"['P018', 'P004', 'P040', 'P026', 'P050']"
C057,"['P045', 'P001', 'P025', 'P003', 'P036']"
C058,"['P045', 'P027', 'P017', 'P050', 'P049']"
C059,"['P007', 'P001', 'P012', 'P023', 'P034']"
C060,"['P018', 'P049', 'P032', 'P008', 'P005']"
C061,"['P002', 'P034', 'P004', 'P050', 'P018']"
C062,"['P035', 'P012', 'P022', 'P046', 'P042']"
C063,"['P043', 'P047', 'P017', 'P026', 'P027']"
C064,"['P021', 'P040', 'P033', 'P032', 'P010']"
C065,"['P038', 'P031', 'P028', 'P002', 'P003']"
C066,"['P016', 'P009', 'P041', 'P025', 'P031']"
C067,"['P031', 'P010', 'P030', 'P026', 'P045']"
C068,"['P031', 'P044', 'P001', 'P005', 'P004']"
C069,"['P038', 'P017', 'P025', 'P033', 'P013']"
C070,"['P038', 'P001', 'P031', 'P026', 'P042']"
C071,"['P048', 'P039', 'P010', 'P008', 'P030']"
C072,"['P013', 'P038', 'P011', 'P030', 'P018']"
C073,"['P035', 'P003', 'P030', 'P032', 'P042']"
C074,"['P013', 'P009', 'P050', 'P005', 'P047']"
C075,"['P003', 'P048', 'P045', 'P049', 'P041']"
C076,"['P013', 'P025', 'P006', 'P003', 'P022']"
C077,"['P009', 'P030', 'P015', 'P017', 'P005']"
C078,"['P031', 'P012', 'P021', 'P011', 'P003']"
C079,"['P048', 'P022', 'P040', 'P019', 'P023']"
C080,"['P009', 'P043', 'P024', 'P005', 'P002']"
C081,"['P046', 'P042', 'P010', 'P016', 'P043']"
C082,"['P031', 'P003', 'P036', 'P044', 'P004']"
C083,"['P037', 'P042', 'P001', 'P050', 'P033']"
C084,"['P038', 'P022', 'P036', 'P025', 'P017']"
C085,"['P031', 'P026', 'P050', 'P002', 'P024']"
C086,"['P013', 'P027', 'P003', 'P046', 'P012']"
C087,"['P039', 'P011', 'P034', 'P038', 'P029']"
C088,"['P002', 'P009', 'P043', 'P025', 'P023']"
C089,"['P022', 'P034', 'P033', 'P024', 'P010']"
C090,"['P016', 'P007', 'P008', 'P049', 'P026']"
C091,"['P009', 'P020', 'P027', 'P024', 'P014']"
C092,"['P005', 'P016', 'P023', 'P042', 'P011']"
C093,"['P035', 'P011', 'P042', 'P038', 'P031']"
C094,"['P044', 'P025', 'P015', 'P034', 'P031']"
C095,"['P020', 'P021', 'P006', 'P005', 'P049']"
C096,"['P016', 'P037', 'P033', 'P014', 'P027']"
C097,"['P025', 'P019', 'P036', 'P037', 'P008']"
C098,"['P006', 'P030', 'P020', 'P038', 'P024']"
C099,"['P023', 'P045', 'P017', 'P043', 'P007']"
C100,"['P048', 'P047', 'P017', 'P039', 'P034']"
C101,"['P050', 'P003', 'P030', 'P044', 'P005']"
C102,"['P035', 'P018', 'P017', 'P006', 'P001']"
C103,"['P022', 'P036', 'P021', 'P042', 'P028']"
C104,"['P027', 'P008', 'P041', 'P044', 'P009']"
C105,"['P041', 'P011', 'P008', 'P030', 'P032']"
C106,"['P018', 'P008', 'P023', 'P004', 'P010']"
C107,"['P038', 'P041', 'P028', 'P019', 'P031']"
C108,"['P047', 'P033', 'P037', 'P014', 'P010']"
C109,"['P016', 'P049', 'P026', 'P003', 'P023']"
C110,"['P039', 'P002', 'P010', 'P042', 'P025']"
C111,"['P048', 'P016', 'P022', 'P023', 'P037']"
C112,"['P007', 'P022', 'P011', 'P042', 'P015']"
C113,"['P038', 'P004', 'P041', 'P021', 'P030']"
C114,"['P039', 'P023', 'P027', 'P035', 'P018']"
C115,"['P016', 'P027', 'P009', 'P042', 'P047']"
C116,"['P029', 'P010', 'P004', 'P026', 'P040']"
C117,"['P004', 'P044', 'P039', 'P013', 'P050']"
C118,"['P043', 'P011', 'P013', 'P027', 'P007']"
C119,"['P035', 'P008', 'P009', 'P048', 'P001']"
C120,"['P050', 'P005', 'P044', 'P018', 'P015']"
C121,"['P018', 'P032', 'P020', 'P025', 'P037']"
C122,"['P007', 'P001', 'P005', 'P004', 'P048']"
C123,"['P034', 'P008', 'P035', 'P025', 'P001']"
C124,"['P050', 'P036', 'P018', 'P002', 'P013']"
C125,"['P032', 'P004', 'P001', 'P020', 'P046']"
C126,"['P041', 'P023', 'P014', 'P045', 'P010']"
C127,"['P036', 'P046', 'P043', 'P040', 'P013']"
C128,"['P013', 'P031', 'P012', 'P042', 'P047']"
C129,"['P043', 'P019', 'P016', 'P023', 'P046']"
C130,"['P003', 'P048', 'P020', 'P035', 'P046']"
C131,"['P048', 'P010', 'P035', 'P034', 'P050']"
C132,"['P013', 'P036', 'P041', 'P018', 'P028']"
C133,"['P032', 'P008', 'P040', 'P031', 'P044']"
C134,"['P007', 'P049', 'P035', 'P026', 'P013']"
C135,"['P025', 'P037', 'P030', 'P046', 'P034']"
C136,"['P002', 'P018', 'P028', 'P026', 'P034']"
C137,"['P004', 'P012', 'P034', 'P040', 'P031']"
C138,"['P048', 'P011', 'P044', 'P013', 'P007']"
C139,"['P041', 'P044', 'P006', 'P040', 'P050']"
C140,"['P007', 'P034', 'P037', 'P045', 'P024']"
C141,"['P043', 'P016', 'P008', 'P019', 'P049']"
C142,"['P043', 'P007', 'P046', 'P012', 'P035']"
C143,"['P035', 'P011', 'P041', 'P016', 'P017']"
C144,"['P003', 'P016', 'P046', 'P004', 'P015']"
C145,"['P020', 'P043', 'P006', 'P025', 'P024']"
C146,"['P031', 'P040', 'P018', 'P042', 'P007']"
C147,"['P003', 'P018', 'P049', 'P025', 'P036']"
C148,"['P043', 'P015', 'P038', 'P045', 'P041']"
C149,"['P035', 'P007', 'P036', 'P020', 'P015']"
C150,"['P013', 'P011', 'P044', 'P031', 'P027']"
C151,"['P007', 'P027', 'P015', 'P034', 'P001']"
C152,"['P036', 'P044', 'P033', 'P048', 'P021']"
C153,"['P009', 'P050', 'P034', 'P045', 'P010']"
C154,"['P009', 'P046', 'P010', 'P049', 'P038']"
C155,"['P024', 'P010', 'P040', 'P021', 'P037']"
C156,"['P038', 'P027', 'P021', 'P030', 'P004']"
C157,"['P046', 'P035', 'P029', 'P005', 'P049']"
C158,"['P009', 'P039', 'P025', 'P004', 'P012']"
C159,"['P002', 'P030', 'P019', 'P043', 'P025']"
C160,"['P041', 'P032', 'P004', 'P015', 'P018']"
C161,"['P020', 'P043', 'P008', 'P023', 'P039']"
C162,"['P024', 'P035', 'P011', 'P031', 'P029']"
C163,"['P027', 'P043', 'P016', 'P020', 'P006']"
C164,"['P040', 'P011', 'P021', 'P048', 'P024']"
C165,"['P015', 'P048', 'P019', 'P022', 'P043']"
C166,"['P009', 'P042', 'P025', 'P001', 'P007']"
C167,"['P031', 'P040', 'P030', 'P007', 'P022']"
C168,"['P031', 'P015', 'P018', 'P014', 'P019']"
C169,"['P009', 'P039', 'P046', 'P042', 'P015']"
C170,"['P005', 'P007', 'P042', 'P010', 'P039']"
C171,"['P025', 'P003', 'P036', 'P021', 'P038']"
C172,"['P009', 'P022', 'P042', 'P031', 'P044']"
C173,"['P037', 'P019', 'P030', 'P044', 'P016']"
C174,"['P023', 'P002', 'P019', 'P015', 'P001']"
C175,"['P023', 'P035', 'P030', 'P031', 'P041']"
C176,"['P029', 'P030', 'P050', 'P042', 'P011']"
C177,"['P013', 'P017', 'P041', 'P022', 'P018']"
C178,"['P018', 'P007', 'P005', 'P011', 'P023']"
C179,"['P048', 'P014', 'P047', 'P007', 'P041']"
C180,"['P011', 'P036', 'P001', 'P003', 'P024']"
C181,"['P003', 'P038', 'P015', 'P018', 'P039']"
C182,"['P003', 'P022', 'P024', 'P013', 'P045']"
C183,"['P004', 'P047', 'P005', 'P011', 'P042']"
C184,"['P009', 'P019', 'P046', 'P042', 'P002']"
C185,"['P045', 'P044', 'P031', 'P041', 'P008']"
C186,"['P038', 'P031', 'P028', 'P004', 'P018']"
C187,"['P022', 'P012', 'P040', 'P026', 'P044']"
C188,"['P030', 'P011', 'P016', 'P020', 'P009']"
C189,"['P018', 'P032', 'P006', 'P030', 'P017']"
C190,"['P030', 'P037', 'P005', 'P001', 'P022']"
C191,"['P013', 'P045', 'P046', 'P032', 'P022']"
C192,"['P046', 'P035', 'P025', 'P042', 'P010']"
C193,"['P046', 'P024', 'P019', 'P001', 'P016']"
C194,"['P015', 'P027', 'P040', 'P043', 'P045']"
C195,"['P011', 'P034', 'P017', 'P029', 'P031']"
C196,"['P043', 'P040', 'P029', 'P026', 'P009']"
C197,"['P027', 'P003', 'P035', 'P040', 'P032']"
C198,"['P028', 'P011', 'P050', 'P023', 'P013']"
C199,"['P003', 'P007', 'P024', 'P048', 'P049']"
C200,"['P007', 'P036', 'P034', 'P010', 'P004']"
C201,"['P013', 'P039', 'P002', 'P034', 'P011']"
C202,"['P007', 'P035', 'P001', 'P041', 'P011']"
C203,"['P025', 'P034', 'P016', 'P002', 'P010']"
C204,"['P003', 'P044', 'P035', 'P047', 'P046']"
C205,"['P028', 'P010', 'P044', 'P038', 'P005']"
C206,"['P034', 'P022', 'P026', 'P015', 'P016']"
C207,"['P035', 'P024', 'P042', 'P009', 'P029']"
C208,"['P008', 'P019', 'P014', 'P022', 'P025']"
C209,"['P015', 'P003', 'P025', 'P016', 'P043']"
C210,"['P039', 'P011', 'P016', 'P038', 'P020']"
C211,"['P025', 'P001', 'P014', 'P017', 'P020']"
C212,"['P031', 'P029', 'P033', 'P027', 'P028']"
C213,"['P005', 'P025', 'P015', 'P013', 'P041']"
C214,"['P045', 'P028', 'P047', 'P037', 'P004']"
C215,"['P015', 'P037', 'P036', 'P001', 'P018']"
C216,"['P003', 'P042', 'P004', 'P035', 'P021']"
C217,"['P014', 'P027', 'P048', 'P018', 'P001']"
C218,"['P013', 'P022', 'P021', 'P018', 'P006']"
C219,"['P050', 'P022', 'P016', 'P029', 'P005']"
C220,"['P016', 'P046', 'P040', 'P050', 'P039']"
C221,"['P022', 'P024', 'P015', 'P050', 'P044']"
C222,"['P016', 'P031', 'P041', 'P015', 'P002']"
C223,"['P043', 'P034', 'P047', 'P012', 'P002']"
C224,"['P031', 'P012', 'P006', 'P021', 'P020']"
C225,"['P031', 'P001', 'P003', 'P039', 'P011']"
C226,"['P049', 'P034', 'P018', 'P033', 'P037']"
C227,"['P009', 'P036', 'P042', 'P040', 'P003']"
C228,"['P035', 'P036', 'P039', 'P034', 'P048']"
C229,"['P023', 'P037', 'P018', 'P025', 'P047']"
C230,"['P013', 'P023', 'P038', 'P001', 'P043']"
C231,"['P016', 'P018', 'P049', 'P033', 'P031']"
C232,"['P038', 'P045', 'P015', 'P011', 'P003']"
C233,"['P016', 'P019', 'P005', 'P027', 'P036']"
C234,"['P048', 'P022', 'P036', 'P010', 'P006']"
C235,"['P042', 'P030', 'P017', 'P036', 'P001']"
C236,"['P047', 'P034', 'P008', 'P044', 'P013']"
C237,"['P035', 'P008', 'P043', 'P045', 'P025']"
C238,"['P009', 'P042', 'P002', 'P044', 'P001']"
C239,"['P031', 'P046', 'P036', 'P040', 'P041']"
C240,"['P034', 'P037', 'P045', 'P017', 'P007']"
C241,"['P036', 'P040', 'P006', 'P026', 'P028']"
C242,"['P036', 'P035', 'P002', 'P011', 'P019']"
C243,"['P028', 'P034', 'P037', 'P030', 'P045']"
C244,"['P039', 'P016', 'P002', 'P037', 'P020']"
C245,"['P037', 'P050', 'P007', 'P014', 'P002']"
C246,"['P022', 'P040', 'P050', 'P044', 'P007']"
C247,"['P013', 'P048', 'P017', 'P015', 'P022']"
C248,"['P045', 'P010', 'P049', 'P044', 'P001']"
C249,"['P043', 'P024', 'P008', 'P047', 'P013']"
